transaction_id,store_id,store_name,terminal_id,transaction_date,transaction_time,card_type,amount,currency,status,product_category,items_count
TXN001,S01,Tienda Centro,T001,2026-06-06,10:23:45,VISA,15990,CLP,APPROVED,Alimentos,3
TXN002,S01,Tienda Centro,T001,2026-06-06,10:45:12,MASTERCARD,8500,CLP,APPROVED,Bebidas,1
TXN003,S02,Tienda Norte,T003,2026-06-06,11:02:33,VISA,32000,CLP,DECLINED,Electrónica,1
TXN004,S02,Tienda Norte,T003,2026-06-06,11:15:00,AMEX,125000,CLP,APPROVED,Electrónica,2
TXN005,S01,Tienda Centro,T002,2026-06-06,11:30:22,VISA,4990,CLP,APPROVED,Alimentos,2
TXN006,S03,Tienda Sur,T005,2026-06-06,12:00:01,MASTERCARD,67500,CLP,APPROVED,Ropa,3
TXN007,S03,Tienda Sur,T005,2026-06-06,12:15:44,VISA,12990,CLP,DECLINED,Alimentos,4
TXN008,S01,Tienda Centro,T001,2026-06-06,12:45:30,MASTERCARD,89000,CLP,APPROVED,Electrónica,1
TXN009,S02,Tienda Norte,T004,2026-06-06,13:10:05,VISA,3500,CLP,APPROVED,Bebidas,1
TXN010,S03,Tienda Sur,T006,2026-06-06,13:22:18,AMEX,245000,CLP,APPROVED,Electrónica,3
TXN001,S01,Tienda Centro,T001,2026-06-06,10:23:45,VISA,15990,CLP,APPROVED,Alimentos,3